Material;Centro;Clase de valoración;Texto breve de material;Última modificación;Tipo material;Grupo de artículos;Unidad medida base;Grupo de compras;Indicador ABC;Caract.planif.nec.;Categoría valoración;Control de precios;Precio;Moneda;Cantidad base;Creado por
251543;CD00;;Cadena reten, simple cable ACSR 336,4MCM;3/10/2023;ZAT;FEEM0701;C/U;;;ND;MD04;S;462,217;COP;1;AE79461
251544;CD00;;Cadena retenc tipo compresi AAAC-315mm2;3/9/2024;ZAT;FEEM0701;C/U;;;ND;MD04;S;337,971;COP;1;AE79461
251545;CD00;;Cadena suspens simple conduc AAAC 315mm2;12/5/2019;ZAT;FEEM0701;C/U;;;ND;MD04;S;251,669;COP;1;AE79461
251546;CD00;;Cadena suspensión simpl conduc ACSR336,4;3/10/2023;ZAT;FEEM0701;C/U;;;ND;MD04;S;274,786;COP;1;AE79461
251547;CD00;;GRAPA PAT CABLE ACSR 33,185 MCM;24/5/2019;ZAT;FEEM0702;C/U;;;ND;MD04;S;197;COP;1;AE79461
251548;CD00;;GRAPA PAT CABLE CU 2/0 AWG;20/6/2022;ZAT;FELC0800;C/U;;;ND;MD04;S;11,600;COP;1;AE79461
251549;CD00;;CONECT DERIV T CABLE ACSR 336,4-266,8MCM;28/10/2021;ZAT;FEEM2000;C/U;;;ND;MD04;S;1;COP;1;AE79461
251550;CD00;;ESPACIADOR POLIMERICO FASE 15KV 90CM;20/6/2022;ZMBT;FEEM1400;C/U;;;ND;MD04;S;145,141;COP;1;AE79461
251551;CD00;;ESPACIADOR POLIMERICO FASE 35KV 100CM;28/10/2021;ZMBT;FEEM2000;C/U;;;ND;MD04;S;175,091;COP;1;AE79461
251552;CD00;;"Tornillo de Acero Galvanizado 5/8 X 10""";11/2/2023;ZMBT;FEEM1400;C/U;;;ND;MD04;S;3,004;COP;1;AE79461
251553;CD00;;SUSPENSIÓN CABLE OPGW-24 H;3/9/2024;ZAT;FEEM0701;C/U;;;ND;MD04;S;220,607;COP;1;AE79461
251554;CD00;;RETENCIÓN CABLE OPGW-24 H;2/8/2024;ZAT;FEEM0701;C/U;;;ND;MD04;S;435,487;COP;1;AE79461
251555;CD00;;GRAPAS CAJAS DE EMPALME CABLE OPGW-24 H;1/4/2024;ZAT;FEEM0701;C/U;;;ND;MD04;S;218,583;COP;1;AE79461
251556;CD00;;CADENA SUSP GRAPA PISTOLA CABLE 266,8MCM;4/4/2023;ZAT;FEEM0701;C/U;;;ND;MD04;S;180,498;COP;1;AE79461
251557;CD00;;"""PLATINA 1/4"""" PERNOS POSTE SUSP VALMONT";20/12/2021;ZAT;FEEM2000;C/U;;;ND;MD04;S;1;COP;1;AE79461
251558;CD00;;CAJA TORNILL Y ACCESOR ARMADO POSTES MET;24/4/2024;ZAT;FEEM2000;C/U;;;ND;MD04;S;39,121,036;COP;1;AE79461
251559;CD00;;BRAZOS PARA POSTE TIPO DT-315;28/10/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;1;COP;1;AE79461
251560;CD00;;BRAZOS PARA POSTE TIPO R5-315;28/10/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;1;COP;1;AE79461
251561;CD00;;"""BAYONETA DOBLE POSTE 3"""" X 1/4"""" X 1.54";20/12/2023;ZMBT;FEEM1400;C/U;;;ND;MD04;S;118,185;COP;1;AE79461
251562;CD00;;"""BAYONETA RETENCION 2.5""""X1/4""""X1,5 m""";20/12/2023;ZMBT;FEEM1400;C/U;;;ND;MD04;S;70,141;COP;1;AE79461
251563;CD00;;PRENSA PLASTICA CABLE AT S-E CUAN;28/10/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;3;COP;1;AE79461
251564;CD00;;PASATAPAS AT 52KV 1000A BIL 250KV;20/12/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;1,044,000;COP;1;AE79461
251565;CD00;;PASATAPAS MT 20KV 630A BIL 150KV;28/10/2021;ZAT;FEEM0702;C/U;;;ND;MD04;S;812,000;COP;1;AE79461
251566;CD00;;PASATAPAS P NEUTRO MT 20KV 630A BIL 150K;20/12/2021;ZAT;FEEM0702;C/U;;;ND;MD04;S;812,000;COP;1;AE79461
251567;CD00;;Amortiguador Stockbridge AAAC-160mm2;28/10/2021;ZMBT;FEEM0701;C/U;;;ND;MD04;S;55,453;COP;1;AE79461
251568;CD00;;GRAPA COMPRESION CONDUCTOR AAAC-160;3/12/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;118,865;COP;1;AE79461
251569;CD00;;GRAPA SUSPENCION CONDUCTOR AAAC-160;8/7/2022;ZAT;FEEM0702;C/U;;;ND;MD04;S;102,412;COP;1;AE79461
251570;CD00;;SOPORTE RECTO 605 MCM SOBRE AISLADOR;28/10/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;167,613;COP;1;AE79461
251571;CD00;;"""BAYONETA ANGULO GALV. 2.5"""" x 1/4"""" x 1";20/12/2023;ZMBT;FEEM1400;C/U;;;ND;MD04;S;71,222;COP;1;AE79461
251572;CD00;;CONJUNTO RETENCIÓN CABLE ADSS 12 hilos;2/10/2021;ZAT;FEEM2000;C/U;;;ND;MD04;S;371,381;COP;1;AE79461
251573;CD00;;AMORTIGUADOR PARA CABLE ADSS;1/4/2024;ZAT;FEEM0701;C/U;;;ND;MD04;S;101,625;COP;1;AE79461
251574;CD00;;SOPORTE METAL EN L ANGULO 675X300X60;28/10/2021;ZMBT;FEEM0701;C/U;;;ND;MD04;S;40,600;COP;1;AE79461
251575;CD00;;CONJUNTO SUSPENSION RED AEREA AISLADA MT;2/11/2024;ZMBT;FEEM1400;C/U;;;ND;MD04;S;681,913;COP;1;AE79461
251576;CD00;;CONJUNTO RET SENC RED AEREA AISLADA MT;2/11/2024;ZMBT;FEEM1400;C/U;;;ND;MD04;S;770,950;COP;1;AE79461
251577;CD00;;CONJUNTO RET DOBLE RED AEREA AISLADA MT;2/11/2024;ZMBT;FEEM1400;C/U;;;ND;MD04;S;1,124,539;COP;1;AE79461
251578;CD00;;GRAPA TERM RECTA 120-125MM2 DIA 16-20MM;31/7/2023;ZMBT;FEEM1400;C/U;;;ND;MD04;S;21,610;COP;1;AE79461
251579;CD00;;SOPORTE PARA DPS A TANQUE TRANSFORMADOR;28/10/2021;ZMBT;FEEM0702;C/U;;;ND;MD04;S;1;COP;1;AE79461
251580;CD00;;Accesorios de montaje celdas 17,5kV;20/12/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;7,915;COP;1;AE79461
