Material;Centro;Clase de valoración;Texto breve de material;Última modificación;Tipo material;Grupo de artículos;Unidad medida base;Grupo de compras;Indicador ABC;Caract.planif.nec.;Categoría valoración;Control de precios;Precio;Moneda;Cantidad base;Creado por
100000;CD00;;GENERADOR EOLICO 300 W;28/10/2021;ZMBT;FEGE0300;C/U;;;ND;MD04;S;198;COP;1;AE79461
1000001782;CD00;;SERVICIOS DE INSPECCIÓN ELÉCTRICA CU;7/6/2019;ZMSO;LEIL0804;C/U;;;;S075;S;0;COP;1;CO52264919
100001;CD00;;PLANTA ELECTRICA DIESEL 20 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100002;CD00;;PLANTA ELECTRICA DIESEL 40 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100003;CD00;;PLANTA ELECTRICA DIESEL 60 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100004;CD00;;PLANTA ELECTRICA DIESEL 80 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100005;CD00;;PLANTA ELECTRICA DIESEL 100 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100006;CD00;;PLANTA ELECTRICA DIESEL 125 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100007;CD00;;PLANTA ELECTRICA DIESEL 200 KW;11/11/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100008;CD00;;PLANTA ELECTRICA DIESEL 500 KW;28/10/2021;ZAT;FEGE0200;C/U;;;ND;MD04;S;1;COP;1;AE79461
100009;CD00;;PLANTA ELECTRICA DIESEL 800 KW;28/10/2021;ZAT;FEGE0200;C/U;;;ND;MD04;S;1;COP;1;AE79461
100010;CD00;;PLANTA ELECTRICA DIESEL 1000 KW;28/10/2021;ZAT;FEGE0200;C/U;;;ND;MD04;S;1;COP;1;AE79461
100011;CD00;;PLANTA ELECTRICA DIESEL 1500 KW;28/10/2021;ZAT;FEGE0200;C/U;;;ND;MD04;S;1;COP;1;AE79461
100012;CD00;;PLANTA ELECTRICA DIESEL 2000 KW;28/10/2021;ZAT;FEGE0200;C/U;;;ND;MD04;S;1;COP;1;AE79461
110002;CD00;;TRANSFORMADOR DISTRIBUCION CHATARRA;27/3/2023;ZMAT;SRTS0900;C/U;;;ND;MD07;S;0;COP;1;USER_TAM
110024;CD00;;TransformPotencia 30/35/40MVA 230/34.5kV;24/6/2022;ZAT;FETR0503;C/U;;;ND;MD01;S;2,434,057,658;COP;1;USER_TAM
110025;CD00;;"AUTOTRA MON500/√3;120/√3;11,4KV USO EXT";28/10/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;4,420,000,000;COP;1;USER_TAM
110026;CD00;;AutotrafodPotencia 90MVA 230/115/13.8kV;6/7/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;1,885,680,000;COP;1;USER_TAM
110027;CD00;;Trafo 225kVA 11400-208/120V semisumerg;30/11/2023;ZAT;FETR1502;C/U;;;ND;MD01;S;50,976,994;COP;1;USER_TAM
110028;CD00;;TransformadPotencia 40MVA 230/115/13.8kV;28/10/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;2,265,973,508;COP;1;USER_TAM
110030;CD00;;"Trans 2.5MVA 34,5/13,2-11,4kV;NLTC+-2,5%";27/3/2023;ZAT;FETR0503;C/U;;;ND;MD01;S;455,778,400;COP;1;USER_TAM
110031;CD00;;Transf 40MVA115/12kV OLTC NATURAL ESTER;30/4/2024;ZAT;FETR0503;C/U;;;ND;MD01;S;3,362,665,183;COP;1;USER_TAM
110032;CD00;;Trafo 3F 400kVA 11.4kV aceite vegetal;4/1/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;39,297,683;COP;1;USER_TAM
110033;CD00;;Trafo 3F 225kVA 11.4kV aceite vegeta;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;22,925,611;COP;1;USER_TAM
110034;CD00;;Trafo 3F 150kVA 13.2kV aceite vegetal;1/3/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;15,753,304;COP;1;USER_TAM
110035;CD00;;Trafo 3F 150kVA 11.4kV aceite vegetal;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;16,550,369;COP;1;USER_TAM
110036;CD00;;Trafo 3F 75kVA 13.2kV aceite vegetal;3/1/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;11,776,708;COP;1;USER_TAM
110037;CD00;;Trafo 3F 75kVA 11.4kV aceite vegetal;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;14,907,300;COP;1;USER_TAM
110038;CD00;;Trafo 3F 45kVA 13.2kV aceite vegetal;2/1/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;10,256,369;COP;1;USER_TAM
110039;CD00;;Trafo 3F 45kVA 11.4kV aceite vegetal;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;11,153,111;COP;1;USER_TAM
110040;CD00;;Trafo 3F 30kVA 13.2kV aceite vegetal;2/10/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;9,682,100;COP;1;USER_TAM
110041;CD00;;Trafo 3F 30kVA 11.4kV aceite vegetal;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;8,301,147;COP;1;USER_TAM
110043;CD00;;Trafo 3F 15kVA 13.2kV aceite vegetal;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;4,926,739;COP;1;USER_TAM
110044;CD00;;Trafo 3F 15kVA 11.4kV aceite vegetal;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;5,622,478;COP;1;USER_TAM
110045;CD00;;Trafo 1F 15kVA 13.2kV aceite vegetal;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;5,087,551;COP;1;USER_TAM
110046;CD00;;Trafo 1F 15kVA 11.4kV aceite vegetal;4/7/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;4,050,788;COP;1;USER_TAM
110047;CD00;;Trafo 1F 5kVA 13.2kV aceite vegetal;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;2,915,356;COP;1;USER_TAM
110048;CD00;;Trafo 1F 5kVA 11.4kV aceite vegetal;1/12/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;2,693,958;COP;1;USER_TAM
110053;CD00;;TRANSFORMADOR 25MVA 115/13.8kV oltc;6/7/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;1,570,364,085;COP;1;USER_TAM
110068;CD00;;"ATR 90/120/150MVA;500/120-114.kV;Ia0i0";7/7/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;3,700,000,000;COP;1;USER_TAM
110081;CD00;;TRAFO,138KV-34,5KV,25MVA,GST002;25/9/2022;ZAT;FETR0503;C/U;;;ND;MD01;S;0;COP;1;USER_TAM
110256;CD00;;"ATRI90-120-150+1,66 MVA;500/√3/120/√3";29/12/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;4,000,000,000;COP;1;USER_TAM
110257;CD00;;"ATR57,6-72-90+30MVA;230/115/13.2kV";29/12/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;2,034,000,000;COP;1;USER_TAM
110258;CD00;;"ATR30-40+10MVA ONAN-AF1; 230/115 +13,2kV";29/12/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;2,034,000,000;COP;1;USER_TAM
110259;CD00;;"TR 2,5MVA ONAN; 34,5/13,8(12) kV; Dyn5;";25/10/2022;ZAT;FETR0503;C/U;;;ND;MD01;S;832,944,000;COP;1;USER_TAM
110260;CD00;;"TR 25MVA ONAN;115/13,8 kV;YNyn0";26/2/2024;ZAT;FETR0503;C/U;;;ND;MD01;S;2,926,489,035;COP;1;USER_TAM
110261;CD00;;"TR 2,5 MVA ONAN; 34,5/13,8(12) kV";30/12/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;756,000,000;COP;1;USER_TAM
110262;CD00;;"TR 5 MVA ONAN; 34,5/13,8(12) kV";29/10/2024;ZAT;FETR0503;C/U;;;ND;MD01;S;1,944,597,523;COP;1;USER_TAM
110263;CD00;;"TR10 MVA ONAN; 34,5/13,8(12) kV";29/8/2024;ZAT;FETR0503;C/U;;;ND;MD01;S;2,042,456,663;COP;1;USER_TAM
110264;CD00;;"TR30-35-40MVA ONAN-AF1-AF2;115/13,8 kV";20/10/2023;ZAT;FETR0503;C/U;;;ND;MD01;S;3,567,812,072;COP;1;USER_TAM
110265;CD00;;"TR 34-45-56 MVA ONAN-AF1-AF2;115/12 kV";30/12/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;1,462,500,000;COP;1;USER_TAM
110266;CD00;;"TR30-35-40+10MVA ONAN-AF1-AF2;230/34,5kV";30/12/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;2,034,000,000;COP;1;USER_TAM
110268;CD00;;"TR 30-35-40 MVA KNAN-AF1-AF2; 115/12 kV";30/12/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;1,462,500,000;COP;1;USER_TAM
110269;CD00;;"TR 30-35-40 MVA ONAN-AF1-AF2; 115/12 kV";29/10/2024;ZAT;FETR0503;C/U;;;ND;MD01;S;4,911,702,231;COP;1;USER_TAM
110270;CD00;;"TR 30-35-40 MVA ONAN-AF1-AF2;115/34,5 kV";30/12/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;1,462,500,000;COP;1;USER_TAM
110278;CD00;;"ATRI56MVA ONAN-AF1-AF2;230/√3/115√3Ia0i0";25/10/2022;ZAT;FETR0503;C/U;;;ND;MD01;S;2,241,016,000;COP;1;USER_TAM
110356;CD00;;Transformador 5MVA 34.5/13.8-12kV OLTC;29/9/2022;ZAT;FETR0503;C/U;;;ND;MD01;S;1,544,705,104;COP;1;USER_TAM
110427;CD00;;"TR 40.3-50.4-63 MVA ONAN-AF1-AF2;115/34.";24/7/2024;ZAT;FETR0503;C/U;;;ND;MD01;S;5,077,293,701;COP;1;USER_TAM
110870;CD00;;Tornillería montaj,empaq y tubería trafo;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110871;CD00;;Subestacion Movil 75 KVA 13.2- 208/120V;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;59,143,000;COP;1;AE79461
110872;CD00;;Transfo 1F25 kVA 11.4 kV-120/240V aceite;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;2,179,845;COP;1;AE79461
110873;CD00;;Transfo 1F 10 kVA 7.6 kV-120/240V aceite;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;1,479,869;COP;1;AE79461
110874;CD00;;Transfo 1F10 kVA 13.2 kV-120/240V aceite;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;1,600,644;COP;1;AE79461
110875;CD00;;Transfo 1F15 kVA 11.4 kV-120/240V aceite;3/7/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;1,485,705;COP;1;AE79461
110876;CD00;;Transfo 1F 15kVA 13.2 kV-120/240V aceite;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;1,238,317;COP;1;AE79461
110877;CD00;;Transf 1F 25 kVA 13.2 kV- 120/240Vaceite;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;2,075,448;COP;1;AE79461
110878;CD00;;Transfo 3F15 kVA 11.4kV-208/120V aceite;2/11/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;2,560,133;COP;1;AE79461
110879;CD00;;Transfo 3F 15 kVA 13.2 kV - 208/120 V;2/10/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;3,216,296;COP;1;AE79461
110880;CD00;;Transfo 3F 30 kVA 11.4 kV - 208/120 V;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;3,414,933;COP;1;AE79461
110881;CD00;;Transfo 3F 30 kVA 13.2 kV - 208/120 V;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;4,043,196;COP;1;AE79461
110882;CD00;;Transfo 3F 45 kVA 11.4 kV - 208/120 V;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;3,297,813;COP;1;AE79461
110883;CD00;;Transfo 3F 45 kVA 13.2 kV - 208/120 V;3/9/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;4,468,946;COP;1;AE79461
110884;CD00;;Transfo 3F 75 kVA 11.4 kV - 208/120 V;2/10/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;11,427,444;COP;1;AE79461
110885;CD00;;Transfo 3F 75 kVA 13.2 kV - 208/120 V;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;4,747,121;COP;1;AE79461
110886;CD00;;Transfo 3F 150 kVA 11.4 kV - 208/120 V;2/8/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;4,574,496;COP;1;AE79461
110887;CD00;;Transfo 3F 300 kVA 11.4 kV - 208/120 V;1/8/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;26,141,759;COP;1;AE79461
110888;CD00;;Transfo 3F 45 kVA 11.4 kV-208/120V Pedes;11/3/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;9,346,616;COP;1;AE79461
110889;CD00;;"""CONECTOR COBRE 3/4"""" VARILLA COOPERWELL";28/10/2021;ZAT;FETR0401;C/U;;;ND;MD01;S;5,431;COP;1;AE79461
110890;CD00;;BUJE PRIMARIO 200AmP15kV RTE TERMINALPRE;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;101,437;COP;1;AE79461
110891;CD00;;VASO PARA SILICA DE 4-1/2x6;24/5/2023;ZMBT;FETR0100;C/U;;;ND;MD01;S;6;COP;1;AE79461
110892;CD00;;BUJE PARA TRANSFORMADOR GOB 138KV 1250AM;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110893;CD00;;BUJE PARA TRANSFORMADOR TIPO P MITSUBISH;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110894;CD00;;BUJE DT 20F/630 13.2 MCA TRANSFORMADORPO;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;463,019;COP;1;AE79461
110895;CD00;;BUJE ALTA TENSIÓN 115 KV PARA TRANSFORMA;20/12/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;35,815;COP;1;AE79461
110896;CD00;;Transfo 3F 150 kVA 13.2 kV-208/120V conv;30/4/2022;ZMBT;FETR1502;C/U;;;ND;MD01;S;9,361,602;COP;1;AE79461
110897;CD00;;Transfo 3F 1600 kVA 34.5 -11.4 kV;8/7/2022;ZAT;FETR1502;C/U;;;ND;MD01;S;72,258,065;COP;1;AE79461
110898;CD00;;TRAFO 1F AUXILIAR 11400/120V 500VA ACEIT;3/7/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;710,320;COP;1;AE79461
110899;CD00;;TRAFO 1F AUXILIAR 13200/120V 500VA ACEIT;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;1,185,095;COP;1;AE79461
110900;CD00;;TRAFO 1F AUXILIAR 34500/120V 500VA ACEIT;2/11/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;2,093,959;COP;1;AE79461
110901;CD00;;BUJE 220KV, PARA TRANSFORMADOR ABB, TIPO;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110902;CD00;;BUJE 220KV, PARA TRANSFORMADOR ABB, TIPO;20/12/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;32,419;COP;1;AE79461
110903;CD00;;BUJE 138KV, PARA TRANSFORMADOR, TIPO O P;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110904;CD00;;BUJE 38KV, PARA TRANSFORMADOR, TIPO GPA2;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110905;CD00;;BUJE 146KV, PARA TRANSFORMADOR DEPOTENCI;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110906;CD00;;BUJE 220KV, PARA TRANSFORMADOR DEPOTENCI;20/12/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;30,875;COP;1;AE79461
110907;CD00;;BUJE 138KV, PARA TRANSFORMADOR, TIPO O P;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110908;CD00;;BUJE 170KV, PARA TRANSFORMADOR, TIPO GOB;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110909;CD00;;BUJE 145KV, PARA TRANSFORMADOR DE POTENC;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110910;CD00;;BUJE 170KV, PARA TRANSFORMADOR ABB, TIPO;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110911;CD00;;MECANISMO CAMBIADOR DE TOMAS, MARCA MR,T;20/12/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110912;CD00;;BUJE PARA TRANSFORMADOR DE POTENCIA 115K;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110913;CD00;;BUJE PARA TRANSFORMADOR DE POTENCIA 115K;20/12/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;32,419;COP;1;AE79461
110914;CD00;;TRANSFORMADOR 100 KVA 3F BOB. Cu DAÑADO;7/2/2024;ZMAT;FETR1502;C/U;;;ND;MD07;S;0;COP;1;AE79461
110915;CD00;;TRANSFORMADOR 115 KVA 3F BOB. Cu DAÑADO;28/3/2023;ZMAT;FETR1502;C/U;;;ND;MD07;S;0;COP;1;AE79461
110916;CD00;;TRANSFORMADOR 150 KVA TRIFASICO DAÑADO;18/2/2020;ZMAT;FETR1502;C/U;;;ND;MD07;S;0;COP;1;AE79461
110917;CD00;;TRANSFORMADOR 200 KVA 3F BOB. Cu DAÑADO;28/3/2023;ZMAT;FETR1502;C/U;;;ND;MD07;S;0;COP;1;AE79461
110918;CD00;;TRANSFORMADOR 225 KVA TRIFASICO DAÑADO;18/2/2020;ZMAT;FETR1502;C/U;;;ND;MD07;S;0;COP;1;AE79461
110919;CD00;;TRANSFORMADOR 100 KVA 1F BOB. Cu DAÑADO;5/9/2023;ZMAT;FETR1502;C/U;;;ND;MD07;S;0;COP;1;AE79461
110920;CD00;;TRANSFORMADOR 125 KVA 3F BOB. Cu DAÑADO;28/3/2023;ZMAT;FETR1502;C/U;;;ND;MD07;S;0;COP;1;AE79461
110921;CD00;;VALVULA DE SEGURIDAD SUPERIOR SFGREF: BS;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110922;CD00;;GUIA CONICA ACOPLE DE ELEMENTOS;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110923;CD00;;TRANSFORMADOR POTENCIA REF:SLCE12;28/10/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;1;COP;1;AE79461
110924;CD00;;Transfo 1F10 kVA 11.4 kV-120/240V aceite;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;1,514,134;COP;1;AE79461
110925;CD00;;TRANSFORMADOR MONOFASICO 10 KVA DAÑADO O;10/4/2020;ZMAT;FETR1502;C/U;;;ND;MD07;S;0;COP;1;AE79461
110926;CD00;;TERMOMETRO DEVANADO TRAFO POTENCIA;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;62,613;COP;1;AE79461
110927;CD00;;BUJE 11.4KV TIPO DT 30F/200 CON TERMINAL;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;78,267;COP;1;AE79461
110928;CD00;;BUJE TRANSFORMADOR SIEMENS, 34.5KV, TIPO;20/12/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;469,600;COP;1;AE79461
110929;CD00;;INDICADOR NIVEL DE ACEITE, REFERENCIADO;20/12/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;93,920;COP;1;AE79461
110930;CD00;;INDICADOR NIVEL DE ACEITE TRANSFORMADOR;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;93,920;COP;1;AE79461
110931;CD00;;TANQUE DE EXPANSION PARA TRANSFORMADOR;27/12/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;172,187;COP;1;AE79461
110932;CD00;;TERMOMETRO PARA TEMPERATURA DE ACEITE DE;20/12/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;62,613;COP;1;AE79461
110933;CD00;;VENTILADOR PARA TRANSFORMADOR DE POTENCI;20/12/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;93,445;COP;1;AE79461
110934;CD00;;TRANSFORMADOR DE PEDESTAL 30 KVA 11.4 KV;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;7,350,340;COP;1;AE79461
110935;CD00;;TRANSFORMADOR DE PEDESTAL 45 KVA 11.4 KV;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;8,046,588;COP;1;AE79461
110936;CD00;;Trafo 3F autop 112,5 kVA 11,4kV-208/120V;27/3/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;5,541,876;COP;1;AE79461
110937;CD00;;Trafo 1F autopro 10 kVA 11.4 kV-120/240V;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;2,374,282;COP;1;AE79461
110938;CD00;;Trafo 1F autop 10 kVA 13.2 kV- 120/240V;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;2,584,952;COP;1;AE79461
110939;CD00;;Trafo 1F autop 15 kVA 11.4 kV - 120/240V;3/7/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;5,154,687;COP;1;AE79461
110940;CD00;;Trafo 1F autop 15 kVA 13.2 kV - 120/240V;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;12,042,283;COP;1;AE79461
110941;CD00;;Trafo 1F autop 25 kVA 11.4 kV 120/240V;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;3,487,128;COP;1;AE79461
110942;CD00;;Trafo 1F autop 25 kVA 13.2 kV 240/120V;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;2,904,524;COP;1;AE79461
110943;CD00;;Trafo 3F autop 30 kVA 11.4 kV - 208/120V;6/7/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;3,308,975;COP;1;AE79461
110944;CD00;;Trafo 3F autop 45 kVA 11.4 kV- 208/120V;6/7/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;3,828,210;COP;1;AE79461
110945;CD00;;TRAFO 3F AUTOP 75 KVA 11.4 KV-208/120V;1/4/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;12,202,685;COP;1;AE79461
110946;CD00;;Trafo 3F autop 15 kVA 13.2 kV- 208/120V;6/7/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;4,217,528;COP;1;AE79461
110947;CD00;;TRAFO 3F AUTOP 150 KVA 11.4 KV-208/120V;4/1/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;33,882,684;COP;1;AE79461
110948;CD00;;Trafo 3F autop 15 kVA 11.4 kV- 208/120V;6/7/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;3,418,073;COP;1;AE79461
110949;CD00;;Trafo 3F autop 30 kVA 13.2 kV- 208/120V;6/7/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;4,895,200;COP;1;AE79461
110950;CD00;;Trafo 3F autop 75 kVA 13.2 kV- 208/120V;6/7/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;5,736,200;COP;1;AE79461
110951;CD00;;GUIA CONICA PLASTICA PARA ACOPLE ELEMENT;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110952;CD00;;VALVULA DE PASO PARA RADIADOR;28/10/2021;ZAT;FETR0100;C/U;;;ND;MD01;S;1;COP;1;AE79461
110953;CD00;;TRANSFO 1F 5KVA 11.4KV/ 240-120V ACEITE;4/10/2022;ZMBT;FETR1502;C/U;;;ND;MD01;S;1,157,633;COP;1;AE79461
110954;CD00;;TRANSFO 1F 5KVA 13.2KV/120-240V ACEITE;2/8/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;1,176,023;COP;1;AE79461
110955;CD00;;Trafo 3F 225 KVA 11400/208-120V t conven;4/1/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;6,592,589;COP;1;AE79461
110956;CD00;;Trafo 75 KVA 11400/208-120V pedest secci;3/1/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;26,519,702;COP;1;AE79461
110957;CD00;;Trafo 112.5 KVA 11400/208-120V pede secc;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;12,446,800;COP;1;AE79461
110958;CD00;;Trafo 45 KVA 11400/208-120V pedest secci;1/3/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;18,680,877;COP;1;AE79461
110959;CD00;;Trafo 225 KVA 11400/208-120V pedest secc;1/3/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;22,379,491;COP;1;AE79461
110960;CD00;;Trafo 75KVA 11400/208-120V seco abierto;1/8/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;24,472,919;COP;1;AE79461
110961;CD00;;Trafo 150KVA 11400/208-120V seco abierto;23/3/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;18,606,134;COP;1;AE79461
110962;CD00;;Trafo 3F 1000 KVA 11400/208-120 V t conv;10/3/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;38,275,857;COP;1;AE79461
110963;CD00;;Trafo 150 KVA 11400/208-120V pedest secc;2/10/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;36,647,126;COP;1;AE79461
110964;CD00;;Trafo 30 KVA 11400/208-120V pedest secci;28/10/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;8,185,683;COP;1;AE79461
110965;CD00;;Trafo 300 KVA 11400/208-120V pedest secc;1/3/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;40,110,989;COP;1;AE79461
110966;CD00;;Trafo 300 KVA 11400/208-120V seco;4/6/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;32,896,216;COP;1;AE79461
110967;CD00;;Trafo 3F 400 KVA 11400/208-120V t conven;3/4/2022;ZMBT;FETR1502;C/U;;;ND;MD01;S;19,499,179;COP;1;AE79461
110968;CD00;;Trafo 45 KVA 11400/208-120V seco abierto;23/3/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;11,318,274;COP;1;AE79461
110969;CD00;;Trafo 3F 500 KVA 11400/208-120V t conven;1/4/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;37,693,204;COP;1;AE79461
110970;CD00;;TRAFO 3F 630KVA 11400/208-120V CONVENC;2/8/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;23,342,459;COP;1;AE79461
110971;CD00;;Soporte de Barraje preformado 175A ET722;20/12/2021;ZMBT;FETR0503;C/U;;;ND;MD01;S;8,293;COP;1;AE79461
110972;CD00;;Soporte de Barraje preformado 500A ET722;18/2/2022;ZMBT;FETR0503;C/U;;;ND;MD01;S;10,968;COP;1;AE79461
110973;CD00;;TRAFO 1F AUTOP 5 KVA 11.4 KV 120/240V;6/7/2021;ZMBT;FETR1502;C/U;;;ND;MD01;S;1,880,589;COP;1;AE79461
110974;CD00;;TRAFO 1F AUTOP 5 KVA 13.2 KV 120/240V;4/1/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;5,760,269;COP;1;AE79461
